Rank,City,Population
1,Des Moines,"214,237"
2,Cedar Rapids,"133,562"
3,Davenport,"101,590"
4,Sioux City,"82,651"
5,Iowa City,"75,130"
6,West Des Moines,"67,899"
7,Ankeny,"67,355"
8,Waterloo,"67,328"
9,Ames,"66,258"
10,Council Bluffs,"62,166"
11,Dubuque,"57,882"
12,Urbandale,"44,379"
13,Cedar Falls,"40,536"
14,Marion,"40,359"
15,Bettendorf,"36,543"
16,Mason City,"26,931"
17,Marshalltown,"26,666"
18,Clinton,"25,093"
19,Burlington,"24,713"
20,Ottumwa,"24,368"
21,Waukee,"24,089"
22,Fort Dodge,"23,888"
23,Muscatine,"23,631"
24,Johnston,"22,582"
25,Coralville,"22,290"
26,North Liberty,"19,501"
27,Altoona,"19,221"
28,Clive,"17,242"
29,Indianola,"16,015"
30,Newton,"15,182"
31,Grimes,"14,804"
32,Boone,"12,384"
33,Norwalk,"11,938"
34,Oskaloosa,"11,506"
35,Spencer,"10,952"
36,Fairfield,"10,425"
37,Storm Lake,"10,322"
38,Fort Madison,"10,321"
39,Pella,"10,237"
40,Waverly,"10,198"
41,Keokuk,"10,157"
42,Le Mars,"10,081"
43,Pleasant Hill,"10,019"
44,Carroll,"9,833"
45,Grinnell,"9,116"
46,Mount Pleasant,"8,668"
47,Denison,"8,244"
48,Creston,"7,713"
49,Perry,"7,676"
50,Webster City,"7,671"
51,Sioux Center,"7,605"
52,Decorah,"7,576"
53,Clear Lake,"7,550"
54,Hiawatha,"7,420"
55,Charles City,"7,307"
56,Washington,"7,230"
57,Knoxville,"7,168"
58,Bondurant,"6,958"
59,Eldridge,"6,846"
60,Nevada,"6,677"
61,Atlantic,"6,526"
62,Orange City,"6,182"
63,Independence,"6,124"
64,Maquoketa,"5,990"
65,Oelwein,"5,900"
66,Asbury,"5,747"
67,Estherville,"5,666"
68,Anamosa,"5,537"
69,Adel,"5,455"
70,Centerville,"5,445"
71,Algona,"5,397"
72,Glenwood,"5,389"
73,Winterset,"5,383"
74,Clarinda,"5,366"
75,Red Oak,"5,276"
76,Osceola,"5,242"
77,DeWitt,"5,192"
78,Spirit Lake,"5,155"
79,Sergeant Bluff,"5,127"
80,Sheldon,"5,082"
81,Vinton,"5,075"
82,Iowa Falls,"5,059"
83,Manchester,"4,986"
84,Polk City,"4,961"
85,Cherokee,"4,869"
86,Shenandoah,"4,820"
87,Windsor Heights,"4,809"
88,Harlan,"4,766"
89,Evansdale,"4,743"
90,Humboldt,"4,587"
91,Mount Vernon,"4,466"
92,Camanche,"4,365"
93,Dyersville,"4,329"
94,Carlisle,"4,294"
95,Hampton,"4,205"
96,Tiffin,"4,157"
97,Chariton,"4,141"
98,Jefferson,"4,102"
99,Huxley,"4,036"
100,Forest City,"4,025"
101,Le Claire,"3,965"
102,Monticello,"3,880"
103,Rock Valley,"3,854"
104,Carter Lake,"3,785"
105,West Liberty,"3,766"
106,Cresco,"3,739"
107,Emmetsburg,"3,684"
108,Albia,"3,681"
109,Waukon,"3,625"
110,Osage,"3,555"
111,Robins,"3,537"
112,Saylorville,"3,492"
113 TIE,New Hampton and Eagle Grove,"3,406"
114,Story City,"3,320"
115,Tipton,"3,223"
116,Williamsburg,"3,164"
117,Garner,"3,033"
118,Milford,"2,997"
119,West Burlington,"2,890"
120,Fairfax,"2,856"
121,Wilton,"2,824"
122,Onawa,"2,764"
123,Park View,"2,755"
124,Tama,"2,732"
125,Clarion,"2,709"
126,Jesup,"2,703"
127,Solon,"2,690"
128,Bloomfield,"2,679"
129,Grundy Center,"2,670"
130,Missouri Valley,"2,615"
131,Eldora,"2,612"
132,Sibley,"2,574"
133,Center Point,"2,555"
134,Madrid,"2,549"
135,Kalona,"2,537"
