Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S08096000008,10/04/2012,4641,Kum & Go #573 / SE 14th DM,5830 SE 14th ST,DES MOINES,50315,,77,Polk,1022100,TEQUILA,395,Proximo,89191,Jose Cuervo Especial Reposado Tequila Mini,12,500,11.50,17.25,1,17.25,0.50,0.13
S23102300041,12/20/2014,4346,Roy's Foodland,105 PEARL ST,SHELLSBURG,52332,POINT (-91.869285 42.094155),06,Benton,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11774,Black Velvet,24,375,3.07,4.61,6,27.66,2.25,0.59
S14410500035,09/09/2013,3628,Wal-Mart 1528 / Cedar Rapids,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.680734 42.034748),57,Linn,1062300,FLAVORED RUM,260,Diageo Americas,43410,Captain Morgan Parrot Bay Coconut,12,750,7.49,11.23,12,134.76,9.00,2.38
S09427600021,12/12/2012,4708,No Frills Supermarkets #803 / Glenwo,423 SHARP ST,GLENWOOD,51534,POINT (-95.742987 41.04635),65,Mills,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24458,Kessler Blend Whiskey,6,1750,11.01,16.52,30,495.60,52.50,13.87
S28446900114,10/14/2015,2594,Hy-Vee Food Store / Sioux City,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT (-96.346969 42.447396),97,Woodbury,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,12,121.56,9.00,2.38
S05418100033,05/08/2012,4673,Sonny's Super Market / West Point,327 5TH ST,WEST POINT,52656,POINT (-91.452491 40.717867),56,Lee,1031200,VODKA FLAVORED,260,Diageo Americas,41807,Smirnoff Vanilla Vodka,12,1000,8.95,13.43,3,40.29,3.00,0.79
S08951400026,11/15/2012,4773,"Fast Mart 2, LLC",2704 VINE ST,WEST DES MOINES,50265,POINT (-93.741511 41.580206),77,Polk,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.90,10.35,3,31.05,2.25,0.59
S05020800023,04/12/2012,2840,CVS Pharmacy #8633 / Bettendorf,2002 SPRUCE HILLS DR,BETTENDORF,52722,POINT (-90.503814 41.550134),82,Scott,1032080,IMPORTED VODKA,260,Diageo Americas,34198,Ciroc Super Premium Vodka,6,750,17.97,26.96,2,53.92,1.50,0.40
S27381700013,08/18/2015,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,POINT (-92.106529 43.371131),45,Howard,1012200,SCOTCH WHISKIES,260,Diageo Americas,10008,Scoresby Rare Scotch,6,1750,10.50,15.75,6,94.50,10.50,2.77
S06479000021,07/09/2012,4615,North Side Liquor & Grocery,1303 NORTH FEDERAL AVE,MASON CITY,50401,POINT (-93.201061 43.163663),17,Cerro Gordo,1081305,APPLE SCHNAPPS,65,Jim Beam Brands,82606,Dekuyper Sour Apple Pucker,12,750,6.30,9.45,12,113.40,9.00,2.38
